IC TERM STRUCTURE — mean Spearman IC by forward horizon (trading days)
natural horizon = peak |IC|.  ⚠ = sign flips across horizons (reversal).


── FAST (54) ──
signal                       tier          5d       20d       63d      126d      252d   peak   bucket
asset_tangibility            SMALL     -0.021    -0.011    -0.004    +0.004    +0.007     5d     FAST ⚠
ccc                          LARGE     +0.002    +0.050    +0.040    -0.001    +0.001    20d     FAST ⚠
consensus_signal_combined    SMALL     +0.013    +0.031    +0.026    +0.018    +0.009    20d     FAST
corporate_action_density     SMALL     -0.023    -0.015    +0.011    +0.014    -0.007     5d     FAST ⚠
delivery_anomaly_z           SMALL     +0.033    +0.022    +0.021    +0.020    +0.019     5d     FAST
earnings_beat_rate           MID       -0.032    +0.032    -0.025    -0.050         —     5d     FAST ⚠
earnings_persistence         LARGE     -0.068    -0.016    -0.000    +0.091         —     5d     FAST
eps_growth_yoy               MID       -0.017    +0.026    -0.017    -0.039         —    20d     FAST ⚠
eps_revision_yoy             LARGE     -0.020    +0.047    +0.039    +0.039    +0.037    20d     FAST ⚠
eps_revision_yoy             SMALL     +0.005    +0.024    +0.014    -0.000    -0.009    20d     FAST ⚠
financial_quality            MID       -0.038    -0.026    -0.018    -0.013         —     5d     FAST
financial_recovery           SMALL     -0.076    -0.041    +0.004    -0.001    +0.021     5d     FAST ⚠
financial_signal             MID       -0.040    -0.029    -0.029    -0.013         —     5d     FAST
goodwill_to_assets           SMALL     -0.025    -0.017    -0.008    -0.009    +0.015     5d     FAST ⚠
growth_composite             MID       -0.013    +0.041    -0.007    -0.089         —    20d     FAST ⚠
growth_composite             SMALL     -0.073    -0.024    +0.041    +0.025         —     5d     FAST ⚠
intraday_range_compression   LARGE     -0.037    -0.022    -0.025    +0.015    +0.022     5d     FAST ⚠
iv_skew_25d                  SMALL     -0.006    +0.004    -0.005    -0.005         —     5d     FAST ⚠
iv_term_structure            SMALL     -0.075    -0.143    -0.065    -0.072         —    20d     FAST
m_score                      SMALL     -0.009    +0.025    +0.019    +0.005         —    20d     FAST ⚠
macd_signal                  MID       -0.020    -0.002    +0.002    -0.006    -0.014     5d     FAST ⚠
macd_signal                  SMALL     -0.037    -0.020    -0.021    -0.013    -0.013     5d     FAST
margin_slope                 LARGE     +0.058    +0.029    +0.027    +0.018    -0.003     5d     FAST ⚠
max_pain_distance            LARGE     +0.041    -0.009    +0.003         —         —     5d     FAST ⚠
oi_buildup_signal            LARGE     +0.048    -0.000    -0.005         —         —     5d     FAST ⚠
oi_buildup_signal            SMALL     +0.028    +0.006    -0.016         —         —     5d     FAST ⚠
pcr_oi                       LARGE     +0.037    -0.004    -0.010         —         —     5d     FAST ⚠
pcr_volume                   MID       -0.036    -0.013    +0.001         —         —     5d     FAST ⚠
pcr_volume                   SMALL     -0.043    -0.084    +0.018         —         —    20d     FAST ⚠
pead_drift_60d               SMALL     -0.047    -0.026    -0.036    -0.036    -0.016     5d     FAST
pledge_quality               SMALL     -0.020    +0.057    -0.013    -0.015    -0.006    20d     FAST ⚠
profit_margin                SMALL     +0.043    -0.009    +0.002    -0.009    -0.005     5d     FAST ⚠
promoter_qoq                 SMALL     +0.049    +0.087    +0.045    +0.056    +0.067    20d     FAST
promoter_trend_4q            LARGE     -0.064    -0.020    -0.024         —         —     5d     FAST
promoter_trend_4q            MID       -0.007    +0.080    +0.074         —         —    20d     FAST ⚠
quality_composite            SMALL     +0.054    +0.034    -0.001    -0.019    -0.019     5d     FAST ⚠
revenue_growth_yoy           LARGE     +0.101    +0.032    +0.071    +0.077         —     5d     FAST
revenue_growth_yoy           MID       -0.006    +0.042    -0.006    -0.128         —    20d     FAST ⚠
revenue_growth_yoy           SMALL     -0.105    -0.053    +0.026    +0.010         —     5d     FAST ⚠
roa                          SMALL     +0.046    +0.031    -0.005    -0.031    -0.040     5d     FAST ⚠
roe                          LARGE     +0.024    -0.022    -0.010    -0.002    +0.003     5d     FAST ⚠
roiic                        LARGE     +0.055    +0.009    +0.008    -0.010    -0.044     5d     FAST ⚠
sector_momentum              SMALL     +0.017    +0.016    +0.010    +0.006    +0.010     5d     FAST
sentiment_7d                 LARGE     -0.091    -0.149         —         —         —     5d     FAST
sentiment_7d                 MID       -0.074    -0.064         —         —         —     5d     FAST
sentiment_7d                 SMALL     -0.151    -0.012         —         —         —     5d     FAST
share_momentum               LARGE     -0.025    -0.011    -0.017    +0.000    -0.009     5d     FAST ⚠
share_momentum               MID       -0.031    -0.018    -0.019    +0.008    +0.004     5d     FAST ⚠
short_selling_signal         LARGE     -0.023    -0.019    -0.022    +0.001    +0.004     5d     FAST ⚠
sloan_accruals_full          MID       +0.016    +0.040    +0.004    -0.023    -0.035    20d     FAST ⚠
vwap_deviation_5d            LARGE     -0.033    -0.000    +0.019    +0.023    -0.009     5d     FAST ⚠
vwap_deviation_5d            MID       -0.029    -0.018    -0.012    -0.010    -0.019     5d     FAST
vwap_deviation_5d            SMALL     -0.033    -0.014    -0.003    +0.004    -0.000     5d     FAST ⚠
wc_intensity                 LARGE     +0.002    +0.045    +0.037    -0.002    +0.001    20d     FAST ⚠

── MEDIUM (41) ──
signal                       tier          5d       20d       63d      126d      252d   peak   bucket
book_to_price                LARGE     -0.019    +0.026    +0.050    +0.044    +0.016    63d   MEDIUM ⚠
bs_accruals_ratio            MID       -0.011    +0.002    +0.022    +0.015    +0.002    63d   MEDIUM ⚠
ccc                          MID       +0.056    +0.048    +0.101    +0.070    +0.085    63d   MEDIUM
ccc                          SMALL     +0.016    +0.023    +0.031    +0.029    +0.029    63d   MEDIUM
delivery_anomaly_z           LARGE     +0.022    -0.002    -0.025    -0.012    -0.004    63d   MEDIUM ⚠
earnings_beat_rate           LARGE     +0.080    +0.047    +0.093    +0.112         —    63d   MEDIUM
earnings_beat_rate           SMALL     -0.002    +0.017    +0.041    +0.038         —    63d   MEDIUM ⚠
earnings_persistence         MID       +0.020    -0.024    -0.038    -0.058         —    63d   MEDIUM ⚠
earnings_persistence         SMALL     -0.045    -0.055    -0.084    -0.097         —    63d   MEDIUM
earnings_surprise_std        MID       -0.010    +0.006    +0.010    -0.004    -0.029    63d   MEDIUM ⚠
eps_growth_yoy               LARGE     +0.046    +0.123    +0.185    +0.236         —    63d   MEDIUM
eps_growth_yoy               SMALL     -0.006    +0.006    +0.044    +0.034         —    63d   MEDIUM ⚠
fcf_margin                   SMALL     +0.010    -0.012    -0.015    -0.011    -0.012    63d   MEDIUM ⚠
fcf_yield                    LARGE     +0.015    +0.019    +0.032    +0.020    -0.022    63d   MEDIUM ⚠
growth_composite             LARGE     +0.093    +0.097    +0.158    +0.205         —    63d   MEDIUM
iv_percentile_1y             LARGE     +0.023    +0.035    +0.056    +0.017         —    63d   MEDIUM
iv_percentile_1y             SMALL     -0.012    +0.026    +0.031    +0.017         —    63d   MEDIUM ⚠
iv_realised_spread           LARGE     +0.024    +0.019    -0.032    +0.031         —    63d   MEDIUM ⚠
iv_realised_spread           MID       -0.025    -0.014    -0.032    -0.013         —    63d   MEDIUM
iv_skew_25d                  MID       +0.032    +0.060    +0.067    +0.021         —    63d   MEDIUM
m_score                      LARGE     -0.004    -0.063    -0.074    -0.106         —    63d   MEDIUM
m_score                      MID       -0.029    -0.035    -0.105    -0.210         —    63d   MEDIUM
margin_slope                 MID       +0.001    +0.006    -0.022    -0.021    -0.007    63d   MEDIUM ⚠
max_pain_distance            MID       +0.032    -0.022    -0.074         —         —    63d   MEDIUM ⚠
max_pain_distance            SMALL     +0.002    -0.054    -0.176         —         —    63d   MEDIUM ⚠
mom_12m_adj                  LARGE     -0.028    -0.052    -0.068    -0.045    -0.001    63d   MEDIUM
mom_composite                SMALL     +0.015    +0.025    +0.029    +0.029    +0.002    63d   MEDIUM
nwc_to_revenue               MID       +0.052    +0.043    +0.057    +0.027    +0.035    63d   MEDIUM
